"name","expression"
"52w_high_ratio","$close/Max($high,252)-1"
"52w_low_ratio","$close/Min($low,252)-1"
"adx_14","Mean(100*Abs((100*Mean(If((($high-Ref($high,1))>(Ref($low,1)-$low))&(($high-Ref($high,1))>0),$high-Ref($high,1),0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))-(100*Mean(If(((Ref($low,1)-$low)>($high-Ref($high,1)))&((Ref($low,1)-$low)>0),Ref($low,1)-$low,0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12)))/((100*Mean(If((($high-Ref($high,1))>(Ref($low,1)-$low))&(($high-Ref($high,1))>0),$high-Ref($high,1),0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))+(100*Mean(If(((Ref($low,1)-$low)>($high-Ref($high,1)))&((Ref($low,1)-$low)>0),Ref($low,1)-$low,0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))+1e-12),14)-Ref(Mean(100*Abs((100*Mean(If((($high-Ref($high,1))>(Ref($low,1)-$low))&(($high-Ref($high,1))>0),$high-Ref($high,1),0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))-(100*Mean(If(((Ref($low,1)-$low)>($high-Ref($high,1)))&((Ref($low,1)-$low)>0),Ref($low,1)-$low,0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12)))/((100*Mean(If((($high-Ref($high,1))>(Ref($low,1)-$low))&(($high-Ref($high,1))>0),$high-Ref($high,1),0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))+(100*Mean(If(((Ref($low,1)-$low)>($high-Ref($high,1)))&((Ref($low,1)-$low)>0),Ref($low,1)-$low,0),14)/(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14)+1e-12))+1e-12),14),14)"
"atr_14","0-(Mean(If($high-$low>Abs($high-Ref($close,1)),If($high-$low>Abs($low-Ref($close,1)),$high-$low,Abs($low-Ref($close,1))),If(Abs($high-Ref($close,1))>Abs($low-Ref($close,1)),Abs($high-Ref($close,1)),Abs($low-Ref($close,1)))),14))"
"bollinger_position_20","0-($close-(Mean($close,20)-2*Std($close,20)))/(4*Std($close,20))"
"bollinger_width_20","0-((4*Std($close,20))/Mean($close,20))"
"cci_20","0-(((($high+$low+$close)/3)-Mean(($high+$low+$close)/3,20))/(0.015*Std(($high+$low+$close)/3,20)))"
"chaikin_10","0-(EMA($high-$low,10)/Ref(EMA($high-$low,10),10)-1)"
"channel_position_20","0-($close-Min($low,20))/(Max($high,20)-Min($low,20)+1e-12)"
"close_open_20","0-(Std($close/$open-1,20)*15.874507866)"
"cmo_14","100*($close-Ref($close,14))/Sum(Abs($close-Ref($close,1)),14)"
"corr_price_vol_20","0-(Corr($close,$volume,20))"
"corr_ret_vol_20","0-(Corr($close/Ref($close,1)-1,$volume,20))"
"distance_from_high_20","Max($high,20)-$close"
"distance_from_low_20","0-($close-Min($low,20))"
"doji_ratio_20","Mean(Abs($close-$open)/($high-$low+1e-12),20)"
"downside_20","0-(Power(Mean(Power(If($close/Ref($close,1)-1<0,$close/Ref($close,1)-1,0),2),20),0.5))"
"dpo_14_7","$close-Ref(Mean($close,14),7)"
"ema_20","EMA($close,20)"
"ema_5","EMA($close,5)"
"ema_5_20_cross","(EMA($close,5)-EMA($close,20))/(Mean($close,20)+1e-12)"
"ema_reversion_20","EMA($close,20)-$close"
"force_index_20","0-Mean(($close-Ref($close,1))*$volume,20)"
"gap","$open/Ref($close,1)-1"
"garman_klass","0-(Power(0.5*Log($high/$low)*Log($high/$low)-0.3863*Log($close/$open)*Log($close/$open),0.5))"
"high_low_mid_20","0-(($close-(Max($high,20)+Min($low,20))/2)/((Max($high,20)-Min($low,20))/2+1e-12))"
"high_low_spread","0-(($high-$low)/$close)"
"high_open_20","0-(Mean(($high-$open)/($open+1e-12),20))"
"hl_range_20","0-(Mean(($high-$low)/$close,20))"
"intraday_ret","$close/$open-1"
"keltner_position_20","0-(($close-(EMA($close,20)-2*Mean($high-$low,20)))/(4*Mean($high-$low,20)))"
"lower_shadow_20","Mean((If($close>$open,$open,$close)-$low)/($high-$low+1e-12),20)"
"macd","EMA($close,12)-EMA($close,26)-EMA(EMA($close,12)-EMA($close,26),9)"
"max_drawdown_20","(Max($close,20)-$close)/(Max($close,20)+1e-12)"
"mean_20","Mean($close,20)-$close"
"mfi_14","-100*Sum(If(($high+$low+$close)/3>Ref(($high+$low+$close)/3,1),($high+$low+$close)/3*$volume,0),14)/(Sum(If(($high+$low+$close)/3>Ref(($high+$low+$close)/3,1),($high+$low+$close)/3*$volume,0),14)+Sum(If(($high+$low+$close)/3<Ref(($high+$low+$close)/3,1),($high+$low+$close)/3*$volume,0),14)+1e-12)"
"nvi_ret_20","Mean(If($volume<Ref($volume,1),$close/Ref($close,1)-1,0),20)"
"obv_20","0-Sum($volume*($close/Ref($close,1)-1),20)"
"overnight_mean_20","Mean($open/Ref($close,1)-1,20)"
"parkinson_20","0-(Power(0.018034*Sum(Log($high/$low)*Log($high/$low),20),0.5))"
"percent_b_20","0-(100*($close-(Mean($close,20)-2*Std($close,20)))/(4*Std($close,20)))"
"ppo","0-(EMA($close,12)-EMA($close,26))/(EMA($close,26)+1e-12)"
"price_accel_10_20","($close/Ref($close,10)-1)-(Ref($close,10)/Ref($close,20)-1)"
"pvt_20","0-Sum(($close-Ref($close,1))/(Ref($close,1)+1e-12)*$volume,20)"
"ratio_10_50","0-(Std($close,10)/Std($close,50))"
