name,expression
fund_pe,"$close/$eps"
fund_pb,"$close/$bvps"
fund_dividend_yield,"$dividends_per_share/$close"
fund_sales_to_price,"$sales/$close"
fund_cashflow_yield,"$operating_cash_flow/$close"

quality_gross_profit_margin,"$gross_profit/$revenue"
quality_operating_margin,"$operating_income/$revenue"
quality_net_margin,"$net_income/$revenue"
quality_earnings_stability_5,"Std($eps,5)/Mean($eps,5)"
quality_debt_to_equity,"$total_debt/$total_equity"
quality_interest_coverage,"$ebit/$interest_expense"
quality_cash_conversion_cycle,"$dio+$dso-$dpo"
quality_asset_turnover,"$revenue/$total_assets"
quality_roe,"$net_income/$equity"
quality_roa,"$net_income/$total_assets"

growth_eps_yoy,"$eps/Ref($eps,1)-1"
growth_revenue_yoy,"$revenue/Ref($revenue,1)-1"
growth_ebitda_yoy,"$ebitda/Ref($ebitda,1)-1"
growth_cashflow_yoy,"$cash_flow/Ref($cash_flow,1)-1"
growth_dividends_yoy,"$dividends/Ref($dividends,1)-1"
growth_book_value_yoy,"$book_value/Ref($book_value,1)-1"
growth_sales_yoy,"$sales/Ref($sales,1)-1"
growth_assets_yoy,"$assets/Ref($assets,1)-1"
growth_equity_yoy,"$equity/Ref($equity,1)-1"
growth_retained_earnings_yoy,"$retained_earnings/Ref($retained_earnings,1)-1
"
macro_gdp_growth_1,"$gdp-Ref($gdp,1)"
macro_inflation_growth_1,"$cpi-Ref($cpi,1)"
macro_unemployment_change_1,"$unemployment_rate-Ref($unemployment_rate,1)"
macro_interest_rate_change_1,"$interest_rate-Ref($interest_rate,1)"
macro_ipi_growth_1,"$ipi-Ref($ipi,1)"
macro_retail_sales_growth_1,"$retail_sales-Ref($retail_sales,1)"
macro_housing_starts_growth_1,"$housing_starts-Ref($housing_starts,1)"
macro_cci_growth_1,"$consumer_confidence_index-Ref($consumer_confidence_index,1)"
macro_trade_balance,"$exports-$imports"
macro_fx_reserves_growth_1,"$fx_reserves-Ref($fx_reserves,1)"
