No.,expression,reason
0,"Mean((Sign(Std((Sign((5.0/Corr($close,$volume,20)))*Log(1+Abs((5.0/Corr($close,$volume,20))))),10))*Log(1+Abs(Std((Sign((5.0/Corr($close,$volume,20)))*Log(1+Abs((5.0/Corr($close,$volume,20))))),10))),20)",该因子通过价格与成交量相关性的非线性变换捕捉市场微观结构异常。当价格与成交量关系出现非线性波动时，可能反映市场情绪突变或资金流向异常，这种复杂变换能提取传统线性方法无法捕捉的特征，对短期价格反转或波动率变化具有预测能力，符合行为金融学中的市场过度反应理论。
1,"-Ref(Corr($high, $volume, 30), 1)",该因子捕捉高开与成交量相关性的滞后反转效应。当高开与成交量呈现负相关性时，可能表明价格高位缺乏有效支撑，这种相关性的滞后反转往往预示着价格趋势的转折。基于行为金融学理论，异常的量价关系通常伴随着市场情绪的变化，为短期价格反转提供有效信号。
2,"Corr($vwap, $volume, 10)",该因子衡量成交量与加权平均价格的10日滚动相关性，反映资金流向与价格变动的协同效应。高正相关表明大额交易推动价格上涨，可能预示趋势延续；负相关则显示资金流出或价格背离，具有预测价格动量的能力。基于市场微观结构理论，量价关系是判断市场情绪和资金流向的重要指标。
3,"(Sign((1 / Power(Power((1 / (1 / ((Sign((5.0 - $low)) * Log(1 + Abs((5.0 - $low)))) + (-2.0)))), 30.0), 2.0))) * Log(1 + Abs((1 / Power(Power((1 / (1 / ((Sign((5.0 - $low)) * Log(1 + Abs((5.0 - $low)))) + (-2.0)))), 30.0), 2.0)))))",该因子通过复杂的非线性变换捕捉股票在5元整数价位的支撑效应，基于行为金融学的整数价位心理锚定理论。当价格接近关键整数位时，投资者交易行为会出现系统性偏差，形成价格支撑或阻力，该因子通过放大这种效应来预测短期价格反转。
4,Invalid,解析失败，未找到有效的因子信息格式
5,"((-2.0 - (Max(((Sign((($close + 10.0) - 0.5)) * Log(1 + Abs((($close + 10.0) - 0.5)))) - (-10.0 / Mean($close, 50))), 30) + -0.5)) - 0.01)",该因子通过复合计算价格偏离度和移动平均的交互关系，捕捉价格异常波动和均值回归机会。Sign函数识别偏离方向，Log变换平滑极端值，Max函数提取窗口期内最大偏离，结合均值倒数增强对低价格股票的敏感性，能够有效识别价格反转信号。
6,"((Sign((Sign(Max((Sign(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5))*Log(1+Abs(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5)))),10))*Log(1+Abs(Max((Sign(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5))*Log(1+Abs(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5)))),10)))))*Log(1+Abs((Sign(Max((Sign(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5))*Log(1+Abs(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5)))),10))*Log(1+Abs(Max((Sign(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5))*Log(1+Abs(Mad((2*(Sign(Cov($close,(5*$volume+5),10))*Log(1+Abs(Cov($close,(5*$volume+5),10)))),5)))),10)))))))*2",该因子通过价量协方差捕捉市场协同效应，Mad和Max提取极端波动，Sign和Log增强稳定性。基于市场微观结构理论，异常的价量关系预示趋势变化，在转折点表现显著，能够识别机构资金流动和市场情绪转折，具有较好的预测能力。
7,"Mad(WMA((Sign(WMA(((1 / Power((-5.0 / $open), -10.0)) * Power(2.0, ((Sign($close) * Log(1 + Abs($close))) - 5.0))), 10)) * Log(1 + Abs(WMA(((1 / Power((-5.0 / $open), -10.0)) * Power(2.0, ((Sign($close) * Log(1 + Abs($close))) - 5.0))), 10)))), 40), 40)",该因子通过多层非线性变换和移动平均处理，捕捉价格序列的复杂动力学特征。其有效性源于对开盘价和收盘价的深度数学处理，能够识别传统技术指标难以捕捉的市场模式。WMA提供加权平滑，Mad确保对异常值的稳健性，Sign和Log函数组合有效提取价格变动的方向和幅度信息，这种复杂结构有助于挖掘市场中隐藏的定价异常。
8,"(Sign(((Sign(((1/(Sign(Max(((1/(1.0-$close))+0.5),20))*Log(1+Abs(Max(((1/(1.0-$close))+0.5),20)))))/-0.01))*Log(1+Abs(((1/(Sign(Max(((1/(1.0-$close))+0.5),20))*Log(1+Abs(Max(((1/(1.0-$close))+0.5),20)))))/-0.01))))*-1.0))*Log(1+Abs(((Sign(((1/(Sign(Max(((1/(1.0-$close))+0.5),20))*Log(1+Abs(Max(((1/(1.0-$close))+0.5),20)))))/-0.01))*Log(1+Abs(((1/(Sign(Max(((1/(1.0-$close))+0.5),20))*Log(1+Abs(Max(((1/(1.0-$close))+0.5),20)))))/-0.01))))*-1.0)))",该因子通过多层数学变换提取价格序列中的复杂非线性模式，Sign函数捕捉价格变化方向，Log函数处理变化幅度，Max函数提供计算稳定性，能够识别传统线性因子难以捕捉的市场微观结构特征，在价格反转和动量转换时点具有较好的预测能力。
9,"Max((Var((1 / Max(Power($high, Ref($close, 10)), 40)), 20) / 5.0), 30)",该因子通过计算价格高点相对于前期收盘价的相对强度，结合波动率放大特征，捕捉突破性行情。当价格创出新高且波动率显著放大时，因子值上升，反映市场动量加速和投资者情绪高涨，通常预示着趋势的延续性。这种价格波动模式在行为金融学中与投资者过度反应和羊群效应相关。
10,((1 / (-1.0 + ($open * ((Sign(((((Sign($vwap) * Log(1 + Abs($vwap))) + 30.0) - -1.0) / -0.5)) * Log(1 + Abs(((((Sign($vwap) * Log(1 + Abs($vwap))) + 30.0) - -1.0) / -0.5)))) + 1.0)))) * ($vwap / 0.5)),该因子通过复杂的非线性变换提取vwap价格序列的深层特征，能够捕捉价格行为的异常模式和波动特征。基于行为金融学理论，市场价格往往存在非线性动力学特征，这种复杂的函数变换能够揭示传统线性因子无法捕捉的市场微观结构信息，对价格反转或趋势延续具有预测能力。
11,"Power(Power(Corr(EMA((30.0/Min($open,30)),5),(Power((-2.0-$open),-5.0)+1.0),40),-2.0),-0.5)",该因子结合了价格动量与均值回归特性，通过EMA平滑和相关性计算捕捉市场转折信号。Power函数的嵌套增强了非线性关系的敏感性，适合识别价格极端波动后的反转机会，在趋势转换时具有较好的预测能力。
12,"Mad((-5.0 / Delta($high, 1)), 40) / 30.0",该因子结合了价格动量(Delta)和波动率异常(Mad)的双重特征。负系数反转价格变化方向，Mad算子捕捉波动率的异常偏离，除以30实现标准化。理论上，价格快速上涨后的异常高波动往往预示趋势反转或调整，适合捕捉动量衰竭信号，在均值回归策略中具有预测价值。
13,"Corr((((2.0 * $volume + 4.0) / $open) + 25.0), Ref($vwap, 1), 20)",该因子通过计算成交量调整后的开盘价倒数与滞后VWAP的相关性，捕捉价格动量与成交量压力的协同效应。当成交量异常放大且开盘价相对较低时，与滞后VWAP的高度相关性可能预示价格反转或趋势延续，符合量价关系理论和市场微观结构理论，具有较好的市场择时能力。
14,Invalid,解析失败，未找到有效的因子信息格式
15,Sign((-2/($vwap - (1/(2 - $close)))))*Log(1+Abs((-2/($vwap - (1/(2 - $close)))))),该因子通过VWAP与收盘价的复杂非线性变换捕捉价格均值回归特征。倒数运算放大价格偏离效应，符号函数确定方向，对数变换平滑极端值，能够有效识别价格在成交量加权均价附近的异常行为，具有捕捉短期价格反转的预测能力。
16,Invalid,解析失败，未找到有效的因子信息格式
17,"Ref(Var(1/(Ref($open/-30,20)-($vwap-0.01)),30)-0.01,20)",该因子衡量开盘价与VWAP的相对偏离波动特征，反映了价格发现效率和市场定价分歧。开盘价与VWAP的差异体现隔夜信息定价效率，波动率反映市场对该定价的分歧程度，两者结合能有效捕捉短期价格反转和波动率溢价机会。
18,"(Sign((Sign(((Var((Sign(Mad(Mean(Power(0.01, $close), 20), 50)) * Log(1 + Abs(Mad(Mean(Power(0.01, $close), 20), 50)))), 20) / 5.0) / 1.0)) * Log(1 + Abs(((Var((Sign(Mad(Mean(Power(0.01, $close), 20), 50)) * Log(1 + Abs(Mad(Mean(Power(0.01, $close), 20), 50)))), 20) / 5.0) / 1.0))))) * Log(1 + Abs((Sign(((Var((Sign(Mad(Mean(Power(0.01, $close), 20), 50)) * Log(1 + Abs(Mad(Mean(Power(0.01, $close), 20), 50)))), 20) / 5.0) / 1.0)) * Log(1 + Abs(((Var((Sign(Mad(Mean(Power(0.01, $close), 20), 50)) * Log(1 + Abs(Mad(Mean(Power(0.01, $close), 20), 50)))), 20) / 5.0) / 1.0)))))))",该因子通过多层非线性变换捕捉价格序列的高阶矩特征，对数处理偏态分布，方差计算波动聚集性，符号函数提取方向信息，综合反映市场的非线性动力学特征。基于行为金融学理论，市场参与者的非理性行为会导致价格出现复杂的非线性模式，这种高阶特征包含预测信息，能够捕捉市场情绪变化和潜在的价格反转机会。
19,"Std((Sign(Std((Sign((2.0 / Cov($close, (2.0 + ($volume - 1.0)), 20))) * Log(1 + Abs((2.0 / Cov($close, (2.0 + ($volume - 1.0)), 20))))), 10)) * Log(1 + Abs(Std((Sign((2.0 / Cov($close, (2.0 + ($volume - 1.0)), 20))) * Log(1 + Abs((2.0 / Cov($close, (2.0 + ($volume - 1.0)), 20))))), 10)))), 20)",该因子通过价格与调整后成交量的协方差关系的多层波动特征，捕捉市场情绪不稳定性和资金流向变化。基于行为金融学理论，价格-成交量关系的异常波动反映市场分歧和潜在趋势转折，高值预示市场不确定性增加，具有预测未来波动和收益的区分能力。
